Wind_turbine_name,Ws_avg,P_avg
R80721,2.5,14.63
R80721,5.5500002,191.75999
R80721,7.7800002,817.97998
R80721,7.3600001,793.66998
R80721,6.1500001,384.13
R80721,5.6700001,285.51001
R80721,3.75,30.129999
R80721,1.8200001,-1.01
R80721,5.1799998,132.74001
R80721,4.8800001,127.77
R80721,5.4000001,165.09
R80721,4.9000001,107.16
R80721,6.9299998,579.59003
R80721,6.1199999,304.20001
R80721,8.79,969.52002
R80721,0.0,-1.5
R80721,8.5500002,842.21997
R80721,4.7399998,111.72
R80721,2.8299999,-2.5999999
R80721,6.1799998,362.56
R80721,0.95999998,-1.78
R80721,9.3900003,1186.83
R80721,5.6900001,209.16
R80721,4.4499998,93.93
R80721,4.4299998,53.779999
R80721,2.3699999,9.5600004
R80721,5.4200001,173.14999
R80721,5.7199998,217.11
R80721,0.88,-2.0799999
R80721,4.8299999,118.84
R80721,4.6399999,56.490002
R80721,3.8,9.2799997
R80721,3.8599999,25.58
R80721,7.2399998,735.90997
R80721,6.0300002,248.44
R80721,2.9,0.0
R80721,4.67,89.27
R80721,2.88,0.0
R80721,5.78,204.94
R80721,4.93,134.59
R80721,4.5500002,-7.04
R80721,4.9200001,-6.5300002
R80721,7.54,725.35999
R80721,5.6399999,271.04001
R80721,5.1999998,142.3
R80721,2.8699999,-3.3099999
R80721,2.75,-2.5999999
R80721,4.8400002,103.25
R80721,2.8399999,-2.6400001
R80721,8.91,1080.03
R80721,8.51,832.01
R80721,2.6900001,-2.71
R80721,8.0299997,824.13
R80721,8.4200001,948.40997
R80721,2.97,8.4200001
R80721,5.04,106.73
R80721,5.75,232.87
R80721,7.0500002,564.90997
R80721,6.8299999,542.08002
R80721,4.6399999,106.82
R80721,3.9300001,0.98000002
R80721,5.4000001,198.03999
R80721,5.5900002,165.38
R80721,4.1300001,45.380001
R80721,3.7,-2.0599999
R80721,3.5899999,39.41
R80721,2.8800001,-1.45
R80721,5.6300001,217.67
R80721,4.0900002,55.939999
R80721,4.9299998,90.730003
R80721,6.6599998,434.44
R80721,4.8499999,117.47
R80721,4.48,82.040001
R80721,8.1800003,894.19
R80721,6.6100001,607.65997
R80721,5.9200001,286.07001
R80721,8.2799997,1023.69
R80721,6.75,504.98999
R80721,6.1500001,294.57999
R80721,0.0,-1.54
R80721,7.75,701.28
R80721,1.64,-1.41
R80721,8.42,948.2
R80721,6.3800001,425.07001
R80721,8.03,863.59
R80721,5.4299998,251.22
R80721,5.52,208.09
R80721,6.0900002,274.95999
R80721,6.51,416.41
R80721,2.6099999,-3.3900001
R80721,5.1399999,193.53
R80721,6.1799998,360.03
R80721,1.98,-3.0799999
R80721,1.61,-2.6800001
R80721,2.8599999,-2.45
R80721,2.8800001,17.709999
R80721,4.3499999,50.68
R80721,1.91,-1.65
R80721,2.1900001,-1.3200001
R80721,2.02,-1.49
R80721,2.8800001,-1.58
R80721,5.21,160.50999
R80721,6.02,342.98001
R80721,6.3899999,384.54001
R80721,6.1500001,295.07001
R80721,7.1700001,632.51001
R80721,4.17,60.93
R80721,10.84,1568.22
R80721,5.1799998,130.64
R80721,4.4299998,63.130001
R80721,6.24,284.85
R80721,5.1100001,175.73
R80721,6.12,271.18
R80721,6.82,504.0
R80721,6.54,421.85
R80721,7.3099999,637.29999
R80721,6.61,407.82
R80721,6.25,329.10001
R80721,6.0500002,330.48999
R80721,3.72,20.959999
R80721,4.6999998,102.7
R80721,7.9699998,800.85999
R80721,7.6599998,779.47998
R80721,6.2600002,388.09
R80721,6.4499998,524.90002
R80721,6.9400001,575.03998
R80721,0.0,-0.89999998
R80721,4.9099998,210.53999
R80721,5.1399999,124.75
R80721,3.77,34.75
R80721,6.5700002,503.14999
R80721,6.2800002,363.28
R80721,6.0100002,349.66
R80721,4.7199998,91.5
R80721,5.6999998,199.32001
R80721,7.77,884.7
R80721,4.8699999,96.919998
R80721,7.94,900.64
R80721,5.95,329.81
R80721,5.6100001,237.75999
R80721,6.57,529.2
R80721,6.62,504.59
R80721,7.17,635.95
R80721,6.13,357.52
R80721,6.59,441.07
R80721,7.37,669.03
R80721,5.23,111.18
R80721,7.13,553.92
R80721,8.36,929.5
R80721,3.8199999,34.18
R80721,7.94,900.57
R80721,7.1,604.34
R80721,6.48,436.45999
R80721,7.53,713.49
R80721,6.17,381.81
R80721,5.02,134.88
R80721,5.86,311.02
R80721,4.5600000000000005,95.47
R80721,4.27,83.2
R80721,2.4400001,-2.52
R80721,4.02,23.32
R80721,2.3800001,-5.6999998
R80721,4.54,71.239998
R80721,2.32,0.0
R80721,6.4899998,476.42001
R80721,4.52,51.209999
R80721,5.2199998,39.029999
R80721,5.3499999,193.09
R80721,3.99,38.639999
R80721,5.5300002,215.27
R80721,6.8699999,502.32001
R80721,6.6999998,502.19
R80721,4.4299998,85.730003
R80721,4.54,83.089996
R80721,5.3899999,213.73
R80721,5.75,218.05
R80721,0.06,0.0
R80721,2.22,0.0
R80721,4.8299999,115.54
R80721,2.1,0.0
R80721,1.65,0.0
R80721,0.0,0.0
R80721,2.76,0.0
R80721,4.18,32.45
R80721,5.1599998,141.02
R80721,4.97,138.75
R80721,4.98,172.9
R80721,3.95,38.53
R80721,0.89999998,-1.13
R80721,3.87,29.32
R80721,4.45,71.61
R80721,5.1199999,141.64999
R80721,4.05,47.65
R80721,4.36,64.58
R80721,4.32,65.71
R80721,6.37,403.89
R80721,5.9,355.09
R80721,5.66,290.82
R80721,6.85,489.69
R80721,4.46,69.169998
R80721,5.62,278.86
R80721,5.1100001,86.900002
R80721,5.36,243.82
R80721,3.78,37.68
R80721,2.6500001,-1.65
R80721,1.31,0.0
R80721,0.02,0.0
R80721,5.0900002,90.139999
R80721,0.0,0.0
R80721,5.1199999,173.74001
R80721,0.0,0.0
R80721,0.67,0.0
R80721,0.15,0.0
R80721,1.97,0.0
R80721,0.0,0.0
R80721,0.0,0.0
R80721,4.0799999,-0.98000002
R80721,0.0,0.0
R80721,1.35,0.0
R80721,7.73,839.58002
R80721,0.7000000000000001,0.0
R80721,0.25,0.0
R80721,5.0599999,162.64999
R80721,0.0,0.0
R80721,0.44,0.0
R80721,6.4299998,435.13
R80721,3.79,22.76
R80721,5.14,129.32
R80721,3.1800001,-1.53
R80721,3.63,27.04
R80721,2.01,0.0
R80721,3.0999999,-4.1300001
R80721,1.49,0.0
R80721,4.57,82.6
R80721,2.0,-1.4299999
R80721,2.55,0.0
R80721,2.65,0.0
R80721,7.8699999,778.88
R80721,1.98,0.0
R80721,1.73,0.0
R80721,0.76,0.0
R80721,3.8599999,15.95
